pathogen	strain	composition	shape_np	coating	coating_n	mono_poly	molar_mass	molar_volumes	electronegativities	polarizabilities	size_np	time	references	f(n,c,j,s)obs	concentration	biological_activity
Enterococcus faecalis	ATCC29212	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Klebsiella pneumoniae	ESBL-positive	Ag	Spherical	PVP	Single	Polymer	107.868	10.300	1.930	7.900	26	24	J. Phys. Chem. C 2008; 112 (15) 5825-5834	0	MIC (uM)	62.58
Staphylococcus epidermidis	MET-S	Ag	Spherical	Galactose	Single	Monomer	107.868	10.300	1.930	7.900	50	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus epidermidis	MET-S	Ag	Spherical	Galactose	Single	Monomer	107.868	10.300	1.930	7.900	50	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus epidermidis	MET-S	Ag	Spherical	Galactose	Single	Monomer	107.868	10.300	1.930	7.900	50	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus epidermidis	MET-S	Ag	Spherical	Galactose	Single	Monomer	107.868	10.300	1.930	7.900	50	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus epidermidis	MET-S	Ag	Spherical	Galactose	Single	Monomer	107.868	10.300	1.930	7.900	50	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus epidermidis	MET-S	Ag	Spherical	Galactose	Single	Monomer	107.868	10.300	1.930	7.900	50	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
Staphylococcus epidermidis	MET-S	Ag	Spherical	Galactose	Single	Monomer	107.868	10.300	1.930	7.900	50	24	J. Phys. Chem. B 2006; 110 (33) 16248-16253	0	MIC (uM)	62.58
